case_id,sentence,label
2011_S_308,gazette of india pt.,O
1987_C_108,as already stated by us manufacturers of bulk drugs who claim to be affected by the drugs prices control.,O
2006_A_136,the provisions of the limitation act 1963 have no application in relation to the proceedings under the said act.,O
1987_M_123,the high court on consideration of these documents was of the view that these documents showed unequivocally that the tenancy was in favour of shaik hussain from 1935 after his death mohd abdul khader was recognised as the tenant.,O
2015_S_368,hence it was argued that second revision was not maintainable.,O
2011_I_16,the relevant paras which are useful may be quoted we are fully alive of the fact that this court has been exercising the power u art 142 of the constitution for dissolution of marriage where the court finds that marriage is totally unworkable emotionally dead beyond salvage and has broken down irretrievably even if the facts of the case do not provide a ground in law on which the divorce could be granted.,O
2000_C_151,these were sufficient safeguards for ascertaining the views of the state governments and the universities.,O
1987_C_108,in tharoe mal v puranchand 1978 1 scc 102 1977 indlaw sc 122 one of the questions was regarding the nature of the hearing to be given before imposing municipal taxes under the uttar pradesh municipalities act 1916. it was held.,O
2014_J_33,during the pendency of the said case the chairman board of revenue by order dated 3rd august1996 directed that out of the total amount of rs 4 33 crores received as compensation from meerut development authority after deduction of a sum of rs 1 62 crores along with interest and collection charges the balance amount shall be refunded to the company.,O
2007_U_18,he has also pointed out that there were no eye witnesses to the incident and the 4 witnesses i e jora singh and others who had reached the place of incident and carried the injured appellant to the hospital had also resiled and as the prosecution story now rested on circumstantial evidence alone it was imperative for the investigating officer to have taken the finger prints from the weapon and that in any case the recovery of the spent cartridges and the gun were clearly suspicious as the weapon had been sent to the laboratory after an inordinate delay.,O
2011_I_16,an order which this court can make in order to do complete justice between the parties must not only be consistent with the fundamental rights guaranteed by the constitution but it can not even be inconsistent with the substantive provisions of the relevant statutory laws.,O
1996_B_72,we do not find any force in the contention of mr gupta appearing for the respondents that the succeeding receiver had no jurisdiction to re deliver the possession of nalban fishery is the state of west bengal when his predecessor has already taken possession of the same pursuant to the order of this court.,O
1987_S_26,the question is can the high court do so in law.,O
1987_C_108,reasonableness for purposes of judging whether there was an excess of power or an arbitrary exercise of it is really the demonstration of a reasonable nexus between the matters which are taken into account in exercising a power and the purposes of exercise of that power.,O
1989_A_55,no 113 the learned single judge as well as the division bench both erred in law in setting aside the order of discharge.,O
1987_M_123,aggrieved by the aforesaid award the appellant claiming as one of the owners of the property filed a statutory appeal to the high court.,O
1987_C_108,we are unable to say that the subordinate legislating authority acted unreasonably in prescribing the norms in the manner it has done.,O
1963_S_59,then we come to the other sub head of this chapter.,O
1978_M_13,aggrieved by this order passed by the collector on february 231973the respondent preferred a writ petition special civil application no 1224 of 1973 under art 227 of the constitution to the gujarat high court and writ of certiorari quashing the order dated february 231973 and a direction restraining the collector from further proceeding with the inquiry under s 372 of the land revenue code were sought.,O
1971_S_1,in this letter he says 12th feb 1963. my dear mr nagpal i am writing to you with regard to.,O
1963_S_59,a and c c provides that persons accused of more than one offence of the same kind within the meaning of section 234 committed by them jointly within the period of twelve months could also be charged and tried together.,O
2010_J_55,in this regard he relied upon m s eagle potteries.,O
2007_S_608,and she was married to appellant No 1. appasaheb son of sheshrao palaskar about two and half years prior to the date of incident which took place on 15 september 1991. the appellant No 2 kadubai is the mother of the appellant No 1 and both the appellants were residing in the same house in village palshi.,O
1995_S_317,even if for the sake of argument we were to ignore the evidence of pw19it would not materially affect the prosecution case in so faras the incident at the video parlour is concerned.,O
2007_U_18,the facts of the case are as under.,O
2006_A_136,we therefore as at present advised refrain ourselves from adverting to the said question.,O
1953_L_1,but she had no power to deal with the corpus of the estate.,O
1994_S_246,separate directions were however given in respect of institutions referred to in writ petitions nos 284 and 482 of 1993 with regard to writ petition no 284 of 1993 it was observed that in the said writ petition the petitioner has claimed that no capitation fee is charged from any student and the fee charged is not more than in some cases less than.,O
2012_S_270,11 alongside insertion of section 304 b in ipc the legislature also introduced section 113 b of the evidence act which lays down when the question as to whether a person has committed the dowry death of a woman and it is shown that soon before her death such woman had been subjected by such person to cruelty or harassment for or in connection with any demand for dowry the court shall presume that such person had caused the dowry death.,O
2012_S_270,the expression in connection with the marriage can not be given a restricted or a narrower meaning.,O
1963_S_59,the respondent No 1 on being asked to explain said that he would give his explanation to the managing director.,O
2009_S_146,the appellant herein being aggrieved by the aforesaid order of conviction and sentence filed the present appeal on which we have heard the learned counsel appearing for the appellant and also the learned counsel appearing for the state.,O
1987_S_26,it was contended by mr mehta that there was no agency reading the partnership deeds as we have read that conclusion does not emanate from position appearing debiting the fixed amount payable to the appellant in the expenses account which also is not inconsistent with partnership.,O
2009_B_16,therefore the main classification as literary work and dramatic work can not be construed to mean that dramatic work has nothing to do with literary work.,O
2001_S_1131,the proprietor of the cinema hall was examined to state that on 18th and 19th march the accused had taken leave from his job and during those days he was not present on duty.,O
1987_C_108,another submission of the learned counsel relating to the norms for conversion costs packing charges and process loss of raw materials and packing materials required to the notified for the purpose of calculating retail prices of formulations.,O
1953_L_1,it is significant that the testator did not say in the will that the daughter will enjoy only the properties left indisposed of by the widow.,O
2014_J_33,the said writ petition was allowed by the learned single judge by the impugned judgment and order dated 27th april2001 with following observations for the facts and reasons stated above this petition succeeds and is hereby allowed.,O
2014_J_33,the question arises as to whether in such a situation an auction purchaser can claim interest on equitable ground.,O
2001_A_234,inasmuch as the respondents could not claim any amount at random details regarding expenditure were included in the bills and therefore it is the sponsor 's price for sponsoring the suit serial.,O
2009_B_16,karanth expired on 9 12 1997 yakshagana ballet dance as developed by dr karanth was performed in new delhi on or about 18 9 2001 respondent filed a suit for declaration injunction and damages alleging violation of the copyright in respect of the said dance vested in her in terms of the said will stating that dr karanth developed a new distinctive dance drama troop or theatrical system which was named by him as yaksha ranga which in his own words mean creative extension of traditional yakshagana and thus the appellants infringed the copyright thereof by performing the same at new delhi without obtaining her prior permission.,O
1963_S_59,in our opinion where a witness has to depose to a large number of transactions and those transactions referred to are or mentioned either in the account books or in other documents there is nothing wrong in allowing the witness to refer to the account books and the documents while answering the questions put to him in his examination.,O
2014_R_41,it is not possible for us to accept this contention.,O
2015_S_368,it was submitted by the counsel that section 128 related to two authorities i e the state government and the registrar.,O
2001_A_234,10 are.,O
2011_I_16,7 scc 734 2008 indlaw sc 1077 however these are the cases where this court came to rescue the parties on the ground for divorce not provided for by the legislature in the statute.,O
1996_T_169,in view of the prohibition to import bicycles the respondent was prevented to use the trade mark but by collaboration agreement it was continuing to use the trade mark by the permitted user.,O
2010_J_55,the said order was confirmed on may 222001 to remain operative till disposal of suit.,O
1976_T_9,the report of the chief conservator of forests is also invalid because of the fact that the appraisement is made only with reference to the area of the disputed forests without taking into consideration the density of growth therein.,O
2006_A_36,the letter dated 19 4 1999 reached the sponsoring authority and reached well within time for it being placed before the detaining authority.,O
2012_S_270,113 b lays down that for the purpose of this sectiondowry death shall have the same meaning as in section 304 b of indian penal code.,O
1963_S_59,c of section 239 is subject to the provisions of section 234. in our opinion the words within the meaning of section 234 indicate that what was meant by the words offence of the same kind persons accused of more offences than one of the same kind not exceeding three in numberor may have used the words person accused of more than one offence of the same kind to the extent permissible under section 234. therefore even if the expression same transaction alone had been used in section 2351 it would have meant a transaction consisting either of a single act or of a series of connec ted acts.,O
2011_S_308,it was urged that it was clear from the counter of the respondent that the contemplation of a new prison was under consideration of the state government for several years.,O
1987_S_26,in the light of the aforesaid principles and the facts that have emerged we are of the opinion that the high court exceeded its jurisdiction under section 292 of the rent act.,O
2001_A_234,the trial court examined in detail the letter dated 19 july 1984 exhibit f 1 written by shri g k pendharkar of the petitioners and concluded that averments made in the plaint stated that the original agreement was to have 27 episodes but having regard to the popularity of the serial programme the petitioners decided to increase the said serial to 52 episodes.,O
1987_M_123,it is relevant at this stage to refer to certain provisions of the central act to consider the controversy involved in this appeal the central act was enacted giving power for requisitioning and acquisition of immovable property for union purposes.,O
1963_S_59,that was also the feeling of a number of shareholders who wanted to see the original but one dutt who was chairman of the meeting after seeing exhibit p 234 said that the report seemed to be a genuine one.,O
2008_A_260,18section.,O
2004_I_24,in absence of any pleadings the appellants could not have called for any document to show that the provisions of the 1961 act and 1963 rules would apply.,O
2006_A_36,the self inculpatory statements of appellant as also prabhjot singh purported to have been made in terms of s 108 of the customs act were required to be considered before the order of detention could be passed.,O
1987_S_26,these were reappraised by the high court.,O
2007_C_121,gaw kan lye v saw kyone saing air 1939. rang 343. fb registration under the statute does not confer any new right to the mark claimed or any greater right than what already existed at common law and at equity without registration.,O
2008_A_260,51section 54section 57section.,O
2001_S_1131,insofar as baniyan is concerned it has no stains of any type on it and therefore its discovery and seizure is meaningless and irrelevant.,O
2006_A_136,application nos.,O
2007_C_121,these are considerations which are relevant in disputes arising under the trade marks act.,O
1987_C_108,it appears that although several writ petitions filed by different manufacturers were disposed of by the high court by a common judgment the union of india filed an appeal within the prescribed period of limitation against one of the manufacturers cynamide india limited only.,O
1971_S_1,we do not find that the assessment of the evidence by the trial court and the high court even in the light of such of those previous statements that have been put to the witnesses in the manner stated above is in any way unjustified.,O
2005_S_388,the appellant aggrieved by the judgment of the high court preferred the above appeal by way of special leave petition before this court.,O
2007_B_76,they accepted the stand of the respondent sub silentio and thus continued to bind themselves by other terms and conditions contained in the charter party dated 6th may1997which obviously included the arbitration clause.,O
1995_S_317,pw 15 waman band patte who is the owner of the jagdamba hotel has lent sufficient corroboration to the testimony of the other prosecution witnesses in general and pw9 and pw14 in particular.,O
2008_A_260,previously there was no post grant opposition.,O
2007_U_18,the trial court and the high court relying on the circumstances available on the evidence convicted and sentenced the appellant as already mentioned above.,O
1994_S_246,in the counter affidavit filed by the state it is stated that as on december 11980 both permanent and temporary posts were 131 as on february 121986203 posts were existing.,O
1996_B_72,the appeal to the division bench was preferred against the aforesaid order of dismissal which was registered as f m a no 126 of 1970 the division bench dismissed the appeal by its order dated 5 7 1971 sarkar family moved this court in slp c no 1452 of 1972 by order dated 17 11 1972. this court dismissed the special leave petition.,O
1987_C_108,the order made under section 32c controlling the price of an essential commodity may itself prescribe the manner in which price is to be fixed but that will not make the fixation of price a non legislative activity when the activity is not directed towards a single individual or transaction but is of a general nature covering all individuals and all transactions.,O
1976_T_9,a similar principle applies to the award of interest which may sometimes be notional when feudal interests are puffed out.,O
1963_S_59,his next objection was that it brought within its purview all the various offences which were alleged to have been committed by the respondents.,O
2008_P_8,as it takes away somebody 's right it deserves strict construction.,O
2009_B_16,in r g anand vs m s delux films ors 1978.,O
2014_J_33,september2001the day the high court passed the impugned order.,O
1971_S_1,in so far as handing over of the possession of the land to the contractor p w 8 is concerned the trial court and the high court are equally justified in coming to the conclusion that the accused had not delivered the possession of the land to the contractor till quite late as would appear from the letter of p w 8 dated the 5th april 1963. we are aware of the argument addressed before us that some of the witnesses had said that the water channels had been closed in february 1963 and therefore no crop could thereafter have been standing on the land and must have been destroyed.,O
2005_S_388,the word shall in sub section 2 of section 4 is mandatory and the consideration of the report of the probationer officer is a condition precedent to the release of the accused as reported in the case of state v naguesh g shet govenkar and anr air 1970. goa 49 1969 indlaw goa 8 and a release without such a report.,O
1953_L_1,it would also follow that she would completely represent the estate and under certain circumstances the statute of limitations might run against the heirs to the estate whoever they might be.,O
2008_S_549,one of the main criteria for deciding whether a particular person is a tenant or not is to see whether there was payment of rent either in cash or in kind.,O
1963_S_59,that section reads thus this provision relates only to the oral evidence adduced in a case and not to documentary evidence.,O
1971_S_1,he had also given the approximate yield and the rate at which the crop can be valued with which the collector agreed and awarded compensation.,O
1987_S_26,one point was emphasised by mr mehta learned counsel appearing for the respondents that the original first partnership deed did not mention the appellant or his father as a partner.,O
2010_S_431,the object of the code is to ensure that an accused person gets a full and fair trial along certain well established and well understood lines that accord with our notions of natural justice.,O
1963_S_59,when the respondent No i had to issue a personal cheque on any of these banks he used to ask the second respondent to send an equivalent amount to the bank concerned for being credited to his account.,O
2007_U_18,we are of the opinion however that no adverse inference can be drawn from either of these circumstances.,O
2007_U_18,my house kothi is situated on the outer skirts of village bangawali and door planks had not been fixed so far to rooms.,O
2000_V_80,these facts are brought to our notice by an affidavit filed on 21 november 2000 but these factors do not come in the way of the award made by the tribunal as it is possible to locate the canteen in an appropriate place where there is no hazard of the kind envisaged under the petroleum rules.,O
1987_C_108,his submission was that where bonus in excess of statutory minimum was payable under the provisions of the bonus act there was no option left to the manufacturer not to pay the excess bonus.,O
1987_C_108,paragraph 3 of the 1979 order enables the government with a view to regulating the equitable distribution of any indigenously manufactured bulk drug specified in the first or the second schedule and making it available at a fair price and after making such enquiry as it deems fit to fix from time to time by notification in the official gazette the maximum price at which the bulk drug shall be sold.,O
2004_I_24,considering these facts in our view drawing of an adverse inference for the non production of the muster rolls for the years 1991 92 is wholly erroneous on the part of the industrial court and the high court.,O
2000_V_80,if merely what can be considered a part of the conditions of service of a workman is violated then we do not think there is any justification to hold that such activity will amount to public duty.,O
2006_A_136,there was no occasion for the custodian to club all the notified entities in one block so as to be termed as harshad mehta group andor to club their assets and liabilities jointly.,O
2009_B_16,15000 00 3 directing the defendants to pay to the plaintiff interest on rs 15000 at 15 p a from 18 9 2001 till now which is 95 00.,O
1980_W_3,in the result both the appeals are dismissed without any order as to costs.,O
2015_S_368,the power of the state government has further been widened by section 259 of the code which reads as under 259 rules as to decisions or orders expressly made final whenever in this code it is provided that a decision or order shall be final or conclusive such provision shall mean that no appeal lies from any such decision or order but it shall be lawful to the state government alone to modify annul or reverse any such decision or order under the provision of section 257. the aforesaid provision makes it clear that even if the decision is considered to be final the state government 's power to call for and examine the record and proceedings of subordinate officers is saved.,O
2006_A_136,the learned judge special court while hearing the matter in terms of this order shall also consider as to whether the auction sale should be confirmed or not.,O
1980_W_3,the terms of reference in the state government 's order required the tribunal to revise the scales of pay and dearness allowance and there was no mention of giving any ad hoc increase in the basic pay of individual workman.,O
1963_S_59,no doubt if this interpretation is accepted the object of the section that is to embrace within it the graver offences would be fulfilled but we wish to express no opinion on it.,O
1989_A_55,thereafter the case was listed several times but no written submissions were filed instead the respondent adopted an unusual course by sending an application by post expressing his no confidence in us with a prayer to transfer the case to some other bench.,O
1973_S_68,it was contended that the defendant 's action was justified under the statute ii g 2 c 19 section 8 which after enumerating certain crops empowered the landlord to seize as a distress any other product whatsoever which shall be growing on any part of the estate demised and therefore the trees and shrubs in question came within that description.,O
1953_L_1,ramalakshmi died on 25th april 1938 during the lifetime of the widow.,O
1953_S_23,the idol was not made a party to this suit.,O
2010_S_431,it inter alia provides that every charge under the code shall state the offence with which the accused is charged.,O
1987_C_108,we also wish to clear a misapprehension which appears to prevail in certain circles that price fixation affects the manufacturer or producer primarily and therefore fairness requires that he be given an opportunity and that fair opportunity to the manufacturer or producer must be read into the procedure for price fixation.,O
2004_I_24,no material was placed before the high court as to the nature of the duties of either categories and it is not possible to hold that the principle of equal pay for equal work is an abstract one.,O
2011_I_16,explanation.,O
1987_S_26,the jurisdiction of high court is to correct all errors of law going to the root of the decision which would in such cases include even perverse findings of facts perverse in the sense that no reasonable person acting judicially and properly instructed in the relevant law could arrive at such a finding on the evidence on the record.,O
1987_C_108,it was contended that in any case whatever be the nature of the enquiry and the order contemplated by paragraph 3 the review for which provision made by paragraph 27 was certainly of a quasijudicial character and therefore it was necessary that the manufacturers should be informed of the basis for the fixation of the price and furnished with details of the same in order that they may truly and effectively avail themselves of the remedy of review.,O
2007_U_18,a small weapon like a revolver or a pistol is held in the hand while a rifle or a shot gun is supported on the ground or against the wall.,O
2004_C_129,moreover the government is competent to rescind from the promise even if there is no manifest public interest involved provided no one is put in any adverse situation which can not be rectified.,O
1987_C_108,m c means material cost and includes the cost of drugs and other pharmaceutical aids used including overages if any and process loss thereon in accordance with such norms as may be specified by the government from time to time by notification in the official gazette in this behalf.,O
2006_A_136,1998 indlaw sc 732 supra.,O
2012_S_270,the period intervening between the marriage and the death of the deceased is very small.,O
2008_S_549,s 4 of the act makes it clear that a member of the owner 's family can not be considered as a deemed tenant even if he is lawfully cultivating the land belonging to owner.,O
1963_S_59,there nine persons were jointly tried for an offence under section 5 1 c and d of the prevention of corruption act 1947 and section 109 i p c read with s 420 section 466 and section 467 i p c and all except one for offences under sections 420 467471 i p c some of them were also charged with separate offences under some of these provisions.,O
1987_C_108,in the case of essential bulk drugs paragraph 4 of the order enabled the central government to fix the maximum price at which such essential bulk drugs should be sold.,O
2012_S_270,lw 7 stated on oath that he was present at the time of giving of dowry to the accused by the family of the deceased.,O
2006_A_136,in tejkumar balakrishna ruia v a k menon and another 1997 9 scc 123 1996 indlaw sc 2403 this court held in our view the terms of sub s 3 of section 3 are clear.,O
2008_S_549,initially the land tribunal allowed the application of the father of the appellants and feeling aggrieved a writ petition was filed against the said order.,O
2007_C_121,he in fact used it in respect of watches.,O
2007_S_632,in the former case it can be waived while in the case of the latter it can not be waived.,O
2009_S_146,in that view of the matter we do not agree with the counsel appearing for the appellant that delay in transmitting the fir to the magistrate stands proved in the present case.,O
